Format Version,1.23,Take Name,Take 2022-01-13 01.14.23 PM,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2022-01-13 01.14.24.431 ,Capture Start Frame,387744,Total Frames in Take,1228,Total Exported Frames,1228,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211
,ID,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.005234,-0.014310,-0.001803,0.999882,-467.945953,80.439423,2321.583496
1,0.050000,-0.006125,-0.014280,-0.002491,0.999876,-468.042664,80.257751,2321.512207
2,0.100000,-0.006358,-0.014282,-0.002544,0.999875,-468.076843,80.223991,2321.475586
3,0.150000,-0.006313,-0.014175,-0.002461,0.999877,-468.089661,80.211197,2321.467285
4,0.200000,-0.006674,-0.014081,-0.002948,0.999874,-468.121307,80.215828,2321.484375
5,0.250000,-0.006498,-0.014067,-0.002586,0.999877,-468.148926,80.169487,2321.453125
6,0.300000,-0.006323,-0.014063,-0.002609,0.999878,-468.133850,80.173843,2321.442627
7,0.350000,-0.006160,-0.014107,-0.002400,0.999879,-468.084290,80.201042,2321.473877
8,0.400000,-0.006431,-0.014079,-0.002635,0.999877,-468.071259,80.254791,2321.517334
9,0.450000,-0.006029,-0.014208,-0.002349,0.999878,-468.025940,80.320061,2321.520752
10,0.500000,-0.006039,-0.014253,-0.002352,0.999877,-467.997620,80.345627,2321.564941
11,0.550000,-0.005176,-0.014353,-0.001737,0.999882,-467.953430,80.407249,2321.591553
12,0.600000,-0.004062,-0.014549,-0.000880,0.999886,-467.915100,80.540436,2321.629395
13,0.650000,-0.002415,-0.014668,0.000349,0.999889,-467.851746,80.718712,2321.737061
14,0.700000,-0.002275,-0.014609,0.000346,0.999891,-467.828705,80.818558,2321.769287
15,0.750000,-0.002883,-0.014557,0.000126,0.999890,-467.840485,80.688324,2321.742188
16,0.800000,-0.004318,-0.014350,-0.001191,0.999887,-467.899841,80.556618,2321.659424
17,0.850000,-0.005499,-0.014280,-0.001992,0.999881,-467.969788,80.372910,2321.550049
18,0.900000,-0.004693,-0.014246,-0.000771,0.999887,-467.958710,80.354980,2321.615967
19,0.950000,-0.004292,-0.014430,-0.000979,0.999886,-467.953369,80.498665,2321.599365
20,1.000000,-0.004249,-0.014388,-0.001191,0.999887,-467.945679,80.525986,2321.630371
21,1.050000,-0.004499,-0.014458,-0.001216,0.999885,-467.951660,80.474541,2321.630615
22,1.100000,-0.004561,-0.014460,-0.001258,0.999884,-467.948151,80.452171,2321.600586
23,1.150000,-0.005060,-0.014414,-0.001824,0.999882,-467.957733,80.412842,2321.568115
24,1.200000,-0.006275,-0.014200,-0.002123,0.999877,-467.936890,80.392967,2321.498291
25,1.250000,-0.005873,-0.014111,-0.002207,0.999881,-467.950989,80.356483,2321.478027
26,1.300000,-0.006141,-0.013760,-0.002418,0.999884,-468.060089,80.208313,2321.518799
27,1.350000,-0.006187,-0.013972,-0.002360,0.999881,-468.125427,80.134621,2321.465332
28,1.400000,-0.006619,-0.013856,-0.002461,0.999879,-468.137299,80.174507,2321.428955
29,1.450000,-0.006611,-0.013648,-0.002382,0.999882,-468.145386,80.179802,2321.470215
30,1.500000,-0.006448,-0.013939,-0.002296,0.999879,-468.149628,80.169510,2321.495117
31,1.550000,-0.006455,-0.013993,-0.002320,0.999879,-468.133118,80.175491,2321.494385
32,1.600000,-0.006277,-0.014081,-0.002514,0.999878,-468.132568,80.141747,2321.464111
33,1.650000,-0.006506,-0.014374,-0.002713,0.999872,-468.087585,80.212997,2321.479004
34,1.700000,-0.005395,-0.014463,-0.001849,0.999879,-468.021393,80.372337,2321.566406
35,1.750000,-0.005304,-0.014501,-0.001921,0.999879,-467.995270,80.418365,2321.567871
36,1.800000,-0.004664,-0.014498,-0.001361,0.999883,-467.945496,80.452835,2321.606934
37,1.850000,-0.003542,-0.014541,-0.000619,0.999888,-467.875580,80.600693,2321.677246
38,1.900000,-0.003517,-0.014456,-0.000734,0.999889,-467.864349,80.653229,2321.710693
39,1.950000,-0.001239,-0.014643,0.002059,0.999890,-467.780457,80.781876,2321.866699
40,2.000000,-0.000243,-0.014993,0.002040,0.999886,-467.721741,80.981674,2321.885986
41,2.050000,0.001070,-0.015300,0.003384,0.999877,-467.667969,81.007889,2321.960205
42,2.100000,0.000965,-0.015347,0.002659,0.999878,-467.639130,81.073570,2321.978027
43,2.150000,-0.002037,-0.014554,0.000520,0.999892,-467.824493,80.817123,2321.870361
44,2.200000,-0.005632,-0.014203,-0.002105,0.999881,-468.028992,80.316322,2321.563232
45,2.250000,-0.006566,-0.014080,-0.002689,0.999876,-468.194946,80.123680,2321.450195
46,2.300000,-0.005591,-0.013775,-0.000933,0.999889,-468.171417,80.301086,2321.524170
47,2.350000,-0.004746,-0.013651,-0.000252,0.999896,-468.183380,80.337410,2321.560547
48,2.400000,-0.004790,-0.013764,-0.000516,0.999894,-468.178528,80.274849,2321.583252
49,2.450000,-0.005843,-0.013879,-0.001674,0.999885,-468.197601,80.196884,2321.516846
50,2.500000,-0.006806,-0.013895,-0.002641,0.999877,-468.179382,80.163231,2321.496826
51,2.550000,-0.006509,-0.013885,-0.002468,0.999879,-468.132080,80.128212,2321.485352
52,2.600000,-0.006394,-0.014041,-0.002661,0.999877,-468.097504,80.207237,2321.488770
53,2.650000,-0.005380,-0.014289,-0.001719,0.999882,-468.052155,80.331490,2321.551514
